"frame","mean.min.dist","mean.degree","sd.degree","max.degree","diameter","betweenness","efficiency","num.edges","num.vertices","cc.num","cc.mean.size","cc.max.size","singletons"
22,1.46165304510103,3.21495327102804,2.74043116488882,10,9,23.1495327102804,0.0842047257979192,172,107,24,4.45833333333333,33,17
23,1.42400321103333,3.31481481481481,2.81401083415323,11,9,23.4259259259259,0.0856048805815161,179,108,23,4.69565217391304,34,15
24,1.52652039110945,3.38888888888889,2.83447841988126,11,9,23.4351851851852,0.0880538248528903,183,108,21,5.14285714285714,34,12
25,1.66368554848249,3.53703703703704,2.96530065275551,11,9,22.0925925925926,0.0904856681336432,191,108,21,5.14285714285714,34,12
26,1.47707398025376,3.69369369369369,3.06829177465482,12,9,22.2882882882883,0.0932163332163332,205,111,19,5.84210526315789,35,11
27,1.54801067095796,3.76785714285714,3.02834103443609,12,9,23.7767857142857,0.0952654823190537,211,112,17,6.58823529411765,36,9
28,1.45625327400632,3.80530973451327,3.02034295320808,12,9,23.4778761061947,0.0941983098549154,215,113,17,6.64705882352941,36,9
29,1.54010106351679,3.92982456140351,3.0299954678713,12,9,26.0350877192982,0.0972170470423847,224,114,16,7.125,38,9
30,1.37482848175354,3.98245614035088,3.02491850585861,12,11,32.4561403508772,0.103458756393083,227,114,15,7.6,38,9
31,1.59745379415183,4.01754385964912,3.02491850585861,12,9,30.4385964912281,0.104968049425432,229,114,15,7.6,38,9
32,1.68579680649701,3.88524590163934,3.05377891169482,12,9,33.4918032786885,0.0986516753655353,237,122,18,6.77777777777778,40,12
33,1.63503664250721,3.85714285714286,3.11053509406799,13,9,35.1746031746032,0.096840413202318,243,126,19,6.63157894736842,42,13
34,1.58088947535471,3.9375,3.1716013491784,13,8,35.34375,0.0983345343550806,252,128,19,6.73684210526316,43,13
35,1.55451966724343,3.9236641221374,3.16378138068669,13,8,36.2824427480916,0.0968242317478959,257,131,19,6.89473684210526,43,12
36,1.5826026278619,3.91111111111111,3.22181618074147,14,8,36.0518518518519,0.0931374871673379,264,135,21,6.42857142857143,44,13
37,1.60961537279652,3.97080291970803,3.22203261987225,14,8,33.9489051094891,0.092429690854444,272,137,21,6.52380952380952,44,13
38,1.53317186367048,3.97142857142857,3.24745136846492,14,8,33.2428571428571,0.0915821220574561,278,140,22,6.36363636363636,44,14
39,1.71032221709138,3.95774647887324,3.27438639032469,14,8,33.2042253521127,0.090622814903606,281,142,23,6.17391304347826,44,15
40,1.76744481325054,4,3.28115184756946,14,8,35.7183098591549,0.0939765067949065,284,142,22,6.45454545454545,44,15
41,1.70995003303469,3.98620689655172,3.25957181683711,14,8,38.8620689655172,0.0939806832694764,289,145,21,6.90476190476191,45,14
42,1.54495760432365,3.94630872483221,3.24409075026222,14,8,40.7248322147651,0.0922544548383474,294,149,22,6.77272727272727,46,15
43,1.58121643106711,3.82051282051282,3.29513263620103,14,9,40.6474358974359,0.0864808906744391,298,156,27,5.77777777777778,46,20
44,1.68675755146473,3.85987261146497,3.29034835410484,14,9,41.7324840764331,0.0879886273198375,303,157,27,5.81481481481481,48,21
45,1.62232019614121,3.87261146496815,3.31609539207709,14,9,41.6433121019108,0.0881560289203601,304,157,27,5.81481481481481,48,21
46,1.45050200950832,3.8875,3.3232315484372,14,9,43.29375,0.088580725267046,311,160,26,6.15384615384615,49,19
47,1.58806675261546,3.91304347826087,3.32864706815664,14,9,44.2049689440994,0.0902659469584935,315,161,25,6.44,50,18
48,1.60756758405412,3.92592592592593,3.33354036624141,14,9,44.4876543209877,0.0906366124907648,318,162,25,6.48,50,18
49,1.6266701431564,3.98773006134969,3.36097378977763,14,9,44.1901840490798,0.0911823190737074,325,163,25,6.52,50,18
